ils,replicate,population_size,n_loci,mean_true_gene_species_nrf,min_true_gene_species_nrf,max_true_gene_species_nrf
low,1,100000,10,0.11111111111111112,0.05555555555555555,0.16666666666666666
low,2,100000,10,0.11666666666666665,0.0,0.2222222222222222
high,1,1000000,10,0.7277777777777777,0.5555555555555556,0.8888888888888888
high,2,1000000,10,0.5944444444444444,0.4444444444444444,0.8333333333333334
