condition,support_bin,n_branches,n_correct,mean_support,p_correct,ci_low,ci_high
ils=high|length=1600|model=gtr,"[0,0.5)",77,12,0.3357922077922078,0.15584415584415584,0.09145782358403826,0.25293912056352935
ils=high|length=1600|model=gtr,"[0.5,0.7)",4,1,0.67675,0.25,0.045586062644636216,0.6993639475573634
ils=high|length=1600|model=gtr,"[0.7,0.9)",17,7,0.8170588235294118,0.4117647058823529,0.21610786039131383,0.6399492561448447
ils=high|length=1600|model=gtr,"[0.9,0.95)",14,5,0.9275714285714286,0.35714285714285715,0.16344490737202735,0.6123599531785959
ils=high|length=1600|model=gtr,"[0.95,0.99)",32,20,0.978375,0.625,0.45254100589525126,0.7706633153404079
ils=high|length=1600|model=gtr,"[0.99,1]",216,188,0.9992824074074074,0.8703703703703703,0.8190268904617041,0.90876985046449
ils=high|length=1600|model=gtr_g4,"[0,0.5)",101,17,0.3444257425742574,0.16831683168316833,0.10782685390786728,0.2531138413886562
ils=high|length=1600|model=gtr_g4,"[0.5,0.7)",13,6,0.5748461538461538,0.46153846153846156,0.2320575430148814,0.7085656756816796
ils=high|length=1600|model=gtr_g4,"[0.7,0.9)",28,23,0.8210714285714286,0.8214285714285714,0.644082084514089,0.9212161417056989
ils=high|length=1600|model=gtr_g4,"[0.9,0.95)",17,15,0.9279999999999999,0.8823529411764706,0.6566315750229009,0.967120919987079
ils=high|length=1600|model=gtr_g4,"[0.95,0.99)",35,31,0.9742857142857143,0.8857142857142857,0.7404820521187976,0.9546489414551025
ils=high|length=1600|model=gtr_g4,"[0.99,1]",166,166,0.9991807228915663,1.0,0.9773812776139649,0.9999999999999999
ils=high|length=1600|model=hky,"[0,0.5)",76,12,0.3337631578947368,0.15789473684210525,0.09269405994267452,0.25601638674176064
ils=high|length=1600|model=hky,"[0.5,0.7)",6,3,0.616,0.5,0.18761280689940868,0.8123871931005913
ils=high|length=1600|model=hky,"[0.7,0.9)",17,9,0.8348823529411764,0.5294117647058824,0.30962897311549487,0.738351988039119
