condition,ils,replicate,sequence_length,analysis_model,n_branches,n_supported_branches,n_missing_support,branch_error_rate,brier_score,expected_calibration_error,p_wrong_given_support_ge_0.95,p_wrong_given_support_ge_0.99,n_support_ge_0.95,n_support_ge_0.99
ils=high|rep=01|length=1600|model=gtr,high,1,1600,gtr,180,180,0,0.4,0.10836182222222224,0.11013333333333332,0.041666666666666664,0.02631578947368421,96,76
ils=high|rep=01|length=1600|model=gtr_g4,high,1,1600,gtr_g4,180,180,0,0.4111111111111111,0.10170205555555556,0.10931111111111112,0.036585365853658534,0.0,82,60
ils=high|rep=01|length=1600|model=hky,high,1,1600,hky,180,180,0,0.4,0.10805428888888889,0.11032222222222221,0.042105263157894736,0.02631578947368421,95,76
ils=high|rep=01|length=1600|model=hky_g4,high,1,1600,hky_g4,180,180,0,0.4111111111111111,0.1002421,0.11671111111111108,0.036585365853658534,0.0,82,60
ils=high|rep=01|length=1600|model=jc,high,1,1600,jc,180,180,0,0.35555555555555557,0.12267486111111112,0.06361666666666665,0.050505050505050504,0.037037037037037035,99,81
ils=high|rep=02|length=1600|model=gtr,high,2,1600,gtr,180,180,0,0.3055555555555556,0.2728616111111111,0.2764888888888889,0.23684210526315788,0.18571428571428572,152,140
ils=high|rep=02|length=1600|model=gtr_g4,high,2,1600,gtr_g4,180,180,0,0.15555555555555556,0.0674493,0.03545555555555553,0.008403361344537815,0.0,119,106
ils=high|rep=02|length=1600|model=hky,high,2,1600,hky,180,180,0,0.28888888888888886,0.2624492611111111,0.26116111111111107,0.2251655629139073,0.1702127659574468,151,141
ils=high|rep=02|length=1600|model=hky_g4,high,2,1600,hky_g4,180,180,0,0.15,0.0721219611111111,0.020594444444444436,0.008333333333333333,0.0,120,107
ils=high|rep=02|length=1600|model=jc,high,2,1600,jc,180,180,0,0.2833333333333333,0.2462402777777778,0.2505777777777778,0.21568627450980393,0.17266187050359713,153,139
ils=low|rep=01|length=1600|model=gtr,low,1,1600,gtr,180,180,0,0.35,0.10206305000000002,0.05175000000000002,0.02127659574468085,0.025974025974025976,94,77
ils=low|rep=01|length=1600|model=gtr_g4,low,1,1600,gtr_g4,180,180,0,0.34444444444444444,0.10446768333333334,0.047516666666666645,0.022988505747126436,0.0,87,66
ils=low|rep=01|length=1600|model=hky,low,1,1600,hky,180,180,0,0.3333333333333333,0.10963074444444446,0.030044444444444443,0.02127659574468085,0.02666666666666667,94,75
ils=low|rep=01|length=1600|model=hky_g4,low,1,1600,hky_g4,180,180,0,0.35555555555555557,0.10275028333333333,0.05350555555555555,0.023255813953488372,0.0,86,65
ils=low|rep=01|length=1600|model=jc,low,1,1600,jc,180,180,0,0.3611111111111111,0.09903615555555556,0.052766666666666684,0.010752688172043012,0.013333333333333334,93,75
ils=low|rep=02|length=1600|model=gtr,low,2,1600,gtr,180,180,0,0.21666666666666667,0.18355491666666665,0.1904611111111112,0.14465408805031446,0.11258278145695365,159,151
ils=low|rep=02|length=1600|model=gtr_g4,low,2,1600,gtr_g4,180,180,0,0.1111111111111111,0.06494168333333333,0.026883333333333405,0.0,0.0,125,119
ils=low|rep=02|length=1600|model=hky,low,2,1600,hky,180,180,0,0.21666666666666667,0.18233403888888888,0.18930555555555553,0.15,0.11920529801324503,160,151
ils=low|rep=02|length=1600|model=hky_g4,low,2,1600,hky_g4,180,180,0,0.10555555555555556,0.06735967777777778,0.03582222222222228,0.0,0.0,127,117
ils=low|rep=02|length=1600|model=jc,low,2,1600,jc,180,180,0,0.18888888888888888,0.16731151666666666,0.16462777777777776,0.14375,0.12337662337662338,160,154
