condition,ils,replicate,sequence_length,analysis_model,n_branches,n_supported_branches,n_missing_support,branch_error_rate,brier_score,expected_calibration_error,p_wrong_given_support_ge_0.95,p_wrong_given_support_ge_0.99,n_support_ge_0.95,n_support_ge_0.99
ils=high|length=1600|model=gtr,high,pooled,1600,gtr,360,360,0,0.3527777777777778,0.19061171666666665,0.1933111111111111,0.16129032258064516,0.12962962962962962,248,216
ils=high|length=1600|model=gtr_g4,high,pooled,1600,gtr_g4,360,360,0,0.2833333333333333,0.08457567777777777,0.06467222222222217,0.01990049751243781,0.0,201,166
ils=high|length=1600|model=hky,high,pooled,1600,hky,360,360,0,0.34444444444444444,0.185251775,0.18431944444444442,0.15447154471544716,0.11981566820276497,246,217
ils=high|length=1600|model=hky_g4,high,pooled,1600,hky_g4,360,360,0,0.28055555555555556,0.08618203055555555,0.06865277777777777,0.019801980198019802,0.0,202,167
ils=high|length=1600|model=jc,high,pooled,1600,jc,360,360,0,0.3194444444444444,0.18445756944444444,0.15709722222222217,0.15079365079365079,0.12272727272727273,252,220
ils=low|length=1600|model=gtr,low,pooled,1600,gtr,360,360,0,0.2833333333333333,0.14280898333333333,0.11483888888888887,0.09881422924901186,0.08333333333333333,253,228
ils=low|length=1600|model=gtr_g4,low,pooled,1600,gtr_g4,360,360,0,0.22777777777777777,0.08470468333333334,0.02450000000000001,0.009433962264150943,0.0,212,185
ils=low|length=1600|model=hky,low,pooled,1600,hky,360,360,0,0.275,0.14598239166666666,0.10575833333333333,0.10236220472440945,0.08849557522123894,254,226
ils=low|length=1600|model=hky_g4,low,pooled,1600,hky_g4,360,360,0,0.23055555555555557,0.08505498055555556,0.024330555555555595,0.009389671361502348,0.0,213,182
ils=low|length=1600|model=jc,low,pooled,1600,jc,360,360,0,0.275,0.1331738361111111,0.10640277777777774,0.09486166007905138,0.08733624454148471,253,229
