ils,replicates,n_loci,mean_true_gene_species_nrf,low_max_nrf,high_min_nrf,minimum_nrf_gap,observed_high_minus_low_nrf,meets_preregistered_ils_criteria
high,2,20,0.6611111111111111,0.25,0.55,0.3,0.5472222222222222,True
low,2,20,0.11388888888888889,0.25,0.55,0.3,0.5472222222222222,True
