condition,n_branches,branch_error_rate,mean_support_on_wrong,wrong_and_confident,wrong_and_confident_lo,wrong_and_confident_hi
correct_L200,190,0.5158,0.5651,0.0263,0.0113,0.0601
misspecified_L200,190,0.6684,0.8454,0.2684,0.2105,0.3356
