condition,support_bin,n_branches,n_correct,p_correct,ci_lo,ci_hi
aBayes_L300,"[0,0.5)",24,4,0.1667,0.0668,0.3585
aBayes_L300,"[0.5,0.7)",5,1,0.2,0.0362,0.6245
aBayes_L300,"[0.7,0.9)",13,8,0.6154,0.3552,0.8229
aBayes_L300,"[0.9,0.95)",2,0,0.0,0.0,0.6576
aBayes_L300,"[0.95,0.99)",5,4,0.8,0.3755,0.9638
aBayes_L300,"[0.99,1)",29,28,0.9655,0.8282,0.9939
