ils,replicates,n_loci,mean_true_gene_species_nrf,low_max_nrf,high_min_nrf,minimum_nrf_gap,observed_high_minus_low_nrf,meets_preregistered_ils_criteria
high,2,14,0.646825396825397,0.25,0.55,0.3,0.5357142857142859,True
low,2,14,0.11111111111111109,0.25,0.55,0.3,0.5357142857142859,True
