condition,ils,replicate,sequence_length,analysis_model,n_branches,n_supported_branches,n_missing_support,branch_error_rate,brier_score,expected_calibration_error,p_wrong_given_support_ge_0.95,p_wrong_given_support_ge_0.99,n_support_ge_0.95,n_support_ge_0.99
ils=high|length=800|model=gtr,high,pooled,800,gtr,9000,8840,160,0.29355555555555557,0.19897954061085973,0.2002593891402715,0.15559280707101494,0.11114976517655245,6562,5749
ils=high|length=800|model=gtr_g4,high,pooled,800,gtr_g4,9000,8894,106,0.22033333333333333,0.09588090341803464,0.01680964695300208,0.012124948623099055,0.007147962830593281,4866,4197
ils=high|length=800|model=hky,high,pooled,800,hky,9000,8660,340,0.29333333333333333,0.19410172829099306,0.19421605080831406,0.14997656616153726,0.1074409518735571,6401,5631
ils=high|length=800|model=hky_g4,high,pooled,800,hky_g4,9000,8732,268,0.22133333333333333,0.09614441124599175,0.018172354557947783,0.012154233025984913,0.00801554529997571,4772,4117
ils=high|length=800|model=jc,high,pooled,800,jc,9000,8984,16,0.2922222222222222,0.2024292949688335,0.20193900267141585,0.16192885846108052,0.11803668478260869,6719,5888
ils=low|length=800|model=gtr,low,pooled,800,gtr,9000,8960,40,0.2812222222222222,0.18661014285714286,0.18819620535714296,0.14871794871794872,0.11045655375552282,6825,6111
ils=low|length=800|model=gtr_g4,low,pooled,800,gtr_g4,9000,8960,40,0.21988888888888888,0.09221682879464285,0.026419196428571427,0.012835249042145594,0.006711409395973154,5220,4619
ils=low|length=800|model=hky,low,pooled,800,hky,9000,8960,40,0.2786666666666667,0.18539146729910716,0.18548136160714285,0.14831625183016106,0.10855370551746654,6830,6126
ils=low|length=800|model=hky_g4,low,pooled,800,hky_g4,9000,8960,40,0.21855555555555556,0.09222056618303572,0.026287834821428574,0.01283770837325158,0.006255392579810181,5219,4636
ils=low|length=800|model=jc,low,pooled,800,jc,9000,8960,40,0.2806666666666667,0.1887270482142857,0.18961205357142863,0.1518932250108806,0.11347517730496454,6893,6204
