condition,support_bin,n_branches,n_correct,mean_support,p_correct,ci_low,ci_high
ils=high|length=800|model=gtr,"[0,0.5)",684,106,0.35532456140350877,0.15497076023391812,0.12978508093712252,0.1840104208179327
ils=high|length=800|model=gtr,"[0.5,0.7)",437,144,0.6073661327231121,0.3295194508009153,0.28710175723917025,0.3749083615880911
ils=high|length=800|model=gtr,"[0.7,0.9)",773,303,0.813307891332471,0.39197930142302717,0.35817878863616065,0.4268481718149791
ils=high|length=800|model=gtr,"[0.9,0.95)",384,165,0.925578125,0.4296875,0.3811113970902487,0.4796565040322715
ils=high|length=800|model=gtr,"[0.95,0.99)",813,431,0.9742226322263222,0.5301353013530136,0.4957664328442043,0.5642207176633115
ils=high|length=800|model=gtr,"[0.99,1]",5749,5110,0.9992485649678206,0.8888502348234476,0.8804640386456386,0.8967171025837672
ils=high|length=800|model=gtr_g4,"[0,0.5)",1982,655,0.37162260343087794,0.3304742684157417,0.31011077173328316,0.3514936583481493
ils=high|length=800|model=gtr_g4,"[0.5,0.7)",845,497,0.5966591715976332,0.5881656804733728,0.5546546714292125,0.6208786671819017
ils=high|length=800|model=gtr_g4,"[0.7,0.9)",828,649,0.8103333333333333,0.783816425120773,0.754501036573381,0.8105103790615188
ils=high|length=800|model=gtr_g4,"[0.9,0.95)",373,345,0.9268873994638069,0.9249329758713136,0.8936461870233137,0.9475560581640541
ils=high|length=800|model=gtr_g4,"[0.95,0.99)",669,640,0.9737683109118087,0.9566517189835575,0.9384378280273075,0.9696510891858968
ils=high|length=800|model=gtr_g4,"[0.99,1]",4197,4167,0.9991984751012629,0.9928520371694067,0.9898142286603181,0.9949884356439013
ils=high|length=800|model=hky,"[0,0.5)",688,110,0.35498837209302325,0.15988372093023256,0.13439688848808828,0.18914769165858114
ils=high|length=800|model=hky,"[0.5,0.7)",447,147,0.6085346756152125,0.3288590604026846,0.28692618476604587,0.3737085037808851
ils=high|length=800|model=hky,"[0.7,0.9)",739,309,0.8133017591339647,0.4181326116373478,0.38308217093125174,0.45402980556548733
ils=high|length=800|model=hky,"[0.9,0.95)",385,162,0.9269090909090909,0.42077922077922075,0.3724853257557872,0.47063845523883874
ils=high|length=800|model=hky,"[0.95,0.99)",770,415,0.9740376623376623,0.538961038961039,0.5036452289921686,0.5738900185313557
ils=high|length=800|model=hky,"[0.99,1]",5631,5026,0.9992479133368851,0.8925590481264429,0.8842012712856491,0.9003815641928141
ils=high|length=800|model=hky_g4,"[0,0.5)",1969,637,0.3719283900457085,0.32351447435246317,0.3032116436595171,0.3445046250971839
ils=high|length=800|model=hky_g4,"[0.5,0.7)",814,488,0.5992444717444718,0.5995085995085995,0.5654552177889731,0.6326271492610767
ils=high|length=800|model=hky_g4,"[0.7,0.9)",821,642,0.8107978075517661,0.781973203410475,0.7524506158808816,0.8088692787510091
ils=high|length=800|model=hky_g4,"[0.9,0.95)",356,328,0.9259662921348315,0.9213483146067416,0.888674507050987,0.9450256543533643
ils=high|length=800|model=hky_g4,"[0.95,0.99)",655,630,0.9742824427480916,0.9618320610687023,0.9442627553817693,0.9740156289825452
ils=high|length=800|model=hky_g4,"[0.99,1]",4117,4084,0.9991923730871994,0.9919844547000243,0.9887648583585419,0.9942867590586381
ils=high|length=800|model=jc,"[0,0.5)",656,115,0.3516829268292683,0.17530487804878048,0.14812158110017215,0.20626892716726658
ils=high|length=800|model=jc,"[0.5,0.7)",444,142,0.6067364864864865,0.31981981981981983,0.2781402782470296,0.364590544436705
ils=high|length=800|model=jc,"[0.7,0.9)",776,294,0.8115438144329897,0.3788659793814433,0.345409728913597,0.41351567337322637
ils=high|length=800|model=jc,"[0.9,0.95)",389,188,0.9272802056555269,0.4832904884318766,0.43403681286344786,0.5328709687971502
ils=high|length=800|model=jc,"[0.95,0.99)",831,438,0.9746245487364621,0.5270758122743683,0.49308324191159275,0.5608191989825841
ils=high|length=800|model=jc,"[0.99,1]",5888,5193,0.9992768342391305,0.8819633152173914,0.8734716975869107,0.889956837219592
ils=low|length=800|model=gtr,"[0,0.5)",752,110,0.3502686170212766,0.14627659574468085,0.12281695145117051,0.17333187126512345
ils=low|length=800|model=gtr,"[0.5,0.7)",366,130,0.6116092896174863,0.3551912568306011,0.307897499484761,0.40549331431228075
ils=low|length=800|model=gtr,"[0.7,0.9)",674,271,0.8117507418397626,0.4020771513353116,0.36571580684679555,0.439548431878004
ils=low|length=800|model=gtr,"[0.9,0.95)",343,148,0.9272623906705539,0.4314868804664723,0.38011539012855355,0.4843760664902603
ils=low|length=800|model=gtr,"[0.95,0.99)",714,374,0.974217086834734,0.5238095238095238,0.48714606691472295,0.5602181426824919
ils=low|length=800|model=gtr,"[0.99,1]",6111,5436,0.9993822614956637,0.8895434462444771,0.8814381607281647,0.8971592766935994
ils=low|length=800|model=gtr_g4,"[0,0.5)",1947,600,0.3710934771443246,0.3081664098613251,0.2880508482027845,0.3290374894664553
ils=low|length=800|model=gtr_g4,"[0.5,0.7)",760,459,0.5944039473684211,0.6039473684210527,0.5687365457802387,0.6381126229479375
ils=low|length=800|model=gtr_g4,"[0.7,0.9)",743,554,0.8063472409152086,0.7456258411843876,0.7131020449294313,0.7756227395496335
ils=low|length=800|model=gtr_g4,"[0.9,0.95)",290,255,0.9256034482758622,0.8793103448275862,0.8367744746457227,0.9119282277626496
ils=low|length=800|model=gtr_g4,"[0.95,0.99)",601,565,0.9738569051580699,0.940099833610649,0.9181871710678563,0.9564219827998671
ils=low|length=800|model=gtr_g4,"[0.99,1]",4619,4588,0.9993754059320199,0.9932885906040269,0.9904895622677037,0.9952677693267857
ils=low|length=800|model=hky,"[0,0.5)",755,118,0.3513112582781457,0.1562913907284768,0.13213574481956056,0.18392705405704293
ils=low|length=800|model=hky,"[0.5,0.7)",363,127,0.6083581267217631,0.349862258953168,0.30260378121835696,0.4002652499929342
ils=low|length=800|model=hky,"[0.7,0.9)",671,289,0.8109344262295081,0.4307004470938897,0.3937323112938525,0.46845757148752903
