condition,ils,replicate,sequence_length,analysis_model,unweighted_nrf,contracted_unweighted_nrf,weighted_nrf,hybrid_weighted_nrf,delta_weighted_minus_unweighted,delta_weighted_minus_contracted,delta_hybrid_minus_unweighted,delta_hybrid_minus_contracted
ils=low|rep=01|length=800|model=gtr_g4,low,1,800,gtr_g4,0.1111111111111111,0.05555555555555555,0.0,0.0,-0.1111111111111111,-0.05555555555555555,-0.1111111111111111,-0.05555555555555555
ils=low|rep=01|length=800|model=gtr,low,1,800,gtr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ils=low|rep=01|length=800|model=hky_g4,low,1,800,hky_g4,0.1111111111111111,0.05555555555555555,0.0,0.0,-0.1111111111111111,-0.05555555555555555,-0.1111111111111111,-0.05555555555555555
ils=low|rep=01|length=800|model=hky,low,1,800,hky,0.16666666666666666,0.0,0.0,0.0,-0.16666666666666666,0.0,-0.16666666666666666,0.0
ils=low|rep=01|length=800|model=jc,low,1,800,jc,0.05555555555555555,0.0,0.0,0.0,-0.05555555555555555,0.0,-0.05555555555555555,0.0
ils=low|rep=02|length=800|model=gtr_g4,low,2,800,gtr_g4,0.05555555555555555,0.0,0.0,0.05555555555555555,-0.05555555555555555,0.0,0.0,0.05555555555555555
ils=low|rep=02|length=800|model=gtr,low,2,800,gtr,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0
ils=low|rep=02|length=800|model=hky_g4,low,2,800,hky_g4,0.05555555555555555,0.0,0.0,0.05555555555555555,-0.05555555555555555,0.0,0.0,0.05555555555555555
ils=low|rep=02|length=800|model=hky,low,2,800,hky,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0
ils=low|rep=02|length=800|model=jc,low,2,800,jc,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.0,0.0,-0.05555555555555555,-0.05555555555555555
ils=low|rep=03|length=800|model=gtr_g4,low,3,800,gtr_g4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ils=low|rep=03|length=800|model=gtr,low,3,800,gtr,0.05555555555555555,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555
ils=low|rep=03|length=800|model=hky_g4,low,3,800,hky_g4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ils=low|rep=03|length=800|model=hky,low,3,800,hky,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0
ils=low|rep=03|length=800|model=jc,low,3,800,jc,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0
ils=low|rep=04|length=800|model=gtr_g4,low,4,800,gtr_g4,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.1111111111111111,0.0,-0.1111111111111111,0.0
ils=low|rep=04|length=800|model=gtr,low,4,800,gtr,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.05555555555555555,0.0,-0.05555555555555555,0.0
