condition,ils,replicate,sequence_length,analysis_model,n_branches,n_supported_branches,n_missing_support,branch_error_rate,brier_score,expected_calibration_error,p_wrong_given_support_ge_0.95,p_wrong_given_support_ge_0.99,n_support_ge_0.95,n_support_ge_0.99
ils=high|rep=01|length=800|model=gtr,high,1,800,gtr,900,884,16,0.5522222222222222,0.12015000565610862,0.14709162895927605,0.0625,0.04330708661417323,336,254
ils=high|rep=01|length=800|model=gtr_g4,high,1,800,gtr_g4,900,884,16,0.5522222222222222,0.11899287895927602,0.1432319004524887,0.05460750853242321,0.036458333333333336,293,192
ils=high|rep=01|length=800|model=hky,high,1,800,hky,900,884,16,0.55,0.11908492533936653,0.14219457013574663,0.05654761904761905,0.038910505836575876,336,257
ils=high|rep=01|length=800|model=hky_g4,high,1,800,hky_g4,900,884,16,0.5577777777777778,0.11640685633484164,0.14481561085972858,0.05405405405405406,0.03980099502487562,296,201
ils=high|rep=01|length=800|model=jc,high,1,800,jc,900,884,16,0.5422222222222223,0.1277582488687783,0.13465610859728508,0.06547619047619048,0.050387596899224806,336,258
ils=high|rep=02|length=800|model=gtr,high,2,800,gtr,900,900,0,0.3611111111111111,0.3021858888888889,0.3079977777777777,0.2511078286558346,0.20203735144312393,677,589
ils=high|rep=02|length=800|model=gtr_g4,high,2,800,gtr_g4,900,900,0,0.20333333333333334,0.09909478777777778,0.01336555555555551,0.00631578947368421,0.0024096385542168677,475,415
ils=high|rep=02|length=800|model=hky,high,2,800,hky,900,900,0,0.36666666666666664,0.30614759555555554,0.31427999999999995,0.2555391432791728,0.20812182741116753,677,591
ils=high|rep=02|length=800|model=hky_g4,high,2,800,hky_g4,900,900,0,0.2088888888888889,0.10070080333333334,0.02041222222222223,0.010526315789473684,0.007194244604316547,475,417
ils=high|rep=02|length=800|model=jc,high,2,800,jc,900,900,0,0.3688888888888889,0.3044560166666667,0.31361888888888884,0.26200873362445415,0.2006861063464837,687,583
ils=high|rep=03|length=800|model=gtr,high,3,800,gtr,900,756,144,0.3422222222222222,0.28980374999999997,0.30136904761904765,0.24242424242424243,0.18371212121212122,594,528
ils=high|rep=03|length=800|model=gtr_g4,high,3,800,gtr_g4,900,810,90,0.18777777777777777,0.09125678024691358,0.016822222222222204,0.004395604395604396,0.0025,455,400
