condition,ils,replicate,sequence_length,analysis_model,n_branches,n_supported_branches,n_missing_support,branch_error_rate,brier_score,expected_calibration_error,p_wrong_given_support_ge_0.95,p_wrong_given_support_ge_0.99,n_support_ge_0.95,n_support_ge_0.99
ils=high|length=200|model=gtr,high,pooled,200,gtr,9000,8633,367,0.5424444444444444,0.3230050414687826,0.34215672419784543,0.277037037037037,0.1815671384190542,4050,2897
ils=high|length=200|model=gtr_g4,high,pooled,200,gtr_g4,9000,8633,367,0.4801111111111111,0.18771496258542802,0.13609313100891923,0.079983922829582,0.04152823920265781,2488,1806
ils=high|length=200|model=hky,high,pooled,200,hky,9000,8633,367,0.5468888888888889,0.32764768620410056,0.34804529132398937,0.2861704740849914,0.18691910499139414,4071,2905
ils=high|length=200|model=hky_g4,high,pooled,200,hky_g4,9000,8633,367,0.47788888888888886,0.18718382543727557,0.13276555079346689,0.08186900958466453,0.040488075429839156,2504,1803
ils=high|length=200|model=jc,high,pooled,200,jc,9000,8399,601,0.5451111111111111,0.32761790617930703,0.34641790689367785,0.2851445663010967,0.18821096173733196,4012,2901
ils=low|length=200|model=gtr,low,pooled,200,gtr,9000,8514,486,0.5013333333333333,0.2908829430350012,0.30814881371858116,0.22837135757849558,0.14172068355922215,4427,3394
ils=low|length=200|model=gtr_g4,low,pooled,200,gtr_g4,9000,8514,486,0.44533333333333336,0.17446686152219873,0.12271306084096777,0.07030989670109963,0.03987594151528578,3001,2257
ils=low|length=200|model=hky,low,pooled,200,hky,9000,8514,486,0.5021111111111111,0.2930025439276486,0.30883850129198964,0.23618317166704264,0.14611338398597312,4433,3422
ils=low|length=200|model=hky_g4,low,pooled,200,hky_g4,9000,8514,486,0.44166666666666665,0.17224168686868685,0.11770237256283769,0.06735578526175391,0.036612262902514334,2999,2267
ils=low|length=200|model=jc,low,pooled,200,jc,9000,8514,486,0.5018888888888889,0.2963450346488137,0.31221082922245713,0.23839146856254165,0.1484149855907781,4501,3470
