condition,support_bin,n_branches,n_correct,mean_support,p_correct,ci_low,ci_high
ils=high|length=200|model=gtr,"[0,0.5)",1174,171,0.37312095400340717,0.14565587734241908,0.126632273448105,0.16699090983901957
ils=high|length=200|model=gtr,"[0.5,0.7)",1106,297,0.6092124773960217,0.26853526220614826,0.24324923033854362,0.29542367577706774
ils=high|length=200|model=gtr,"[0.7,0.9)",1586,460,0.8082061790668348,0.2900378310214376,0.26823328055619644,0.3128570620288763
ils=high|length=200|model=gtr,"[0.9,0.95)",717,262,0.9265439330543933,0.36541143654114366,0.3309675003500516,0.4012899054378496
ils=high|length=200|model=gtr,"[0.95,0.99)",1153,557,0.9728100607111881,0.48308759757155245,0.45434714942808857,0.5119403699695539
ils=high|length=200|model=gtr,"[0.99,1]",2897,2371,0.9983462202278218,0.8184328615809459,0.8039765490175717,0.8320457694709664
ils=high|length=200|model=gtr_g4,"[0,0.5)",3073,722,0.36819459811259353,0.2349495606898796,0.2202960062361135,0.25026497421864896
ils=high|length=200|model=gtr_g4,"[0.5,0.7)",1314,571,0.5987130898021309,0.4345509893455099,0.40797768074455054,0.4615058747905001
ils=high|length=200|model=gtr_g4,"[0.7,0.9)",1298,765,0.803517719568567,0.5893682588597843,0.5623795386830315,0.6158295460473997
ils=high|length=200|model=gtr_g4,"[0.9,0.95)",460,332,0.9254630434782609,0.7217391304347827,0.6790775549494411,0.7607277578987383
ils=high|length=200|model=gtr_g4,"[0.95,0.99)",682,558,0.9735351906158358,0.8181818181818182,0.7874785477862137,0.8453206291665988
ils=high|length=200|model=gtr_g4,"[0.99,1]",1806,1731,0.9983892580287929,0.9584717607973422,0.948255499740451,0.9667417022246271
ils=high|length=200|model=hky,"[0,0.5)",1151,171,0.3720191138140747,0.14856646394439618,0.12918915964108266,0.17028186738115145
ils=high|length=200|model=hky,"[0.5,0.7)",1090,280,0.6072211009174312,0.25688073394495414,0.23182800684572924,0.28364114334932633
ils=high|length=200|model=hky,"[0.7,0.9)",1627,469,0.8086502765826675,0.288260602335587,0.2667698883475207,0.31074886025442816
ils=high|length=200|model=hky,"[0.9,0.95)",694,252,0.9261945244956772,0.3631123919308357,0.32817760920054656,0.3995543001611193
ils=high|length=200|model=hky,"[0.95,0.99)",1166,544,0.9724219554030875,0.4665523156089194,0.4380736223695748,0.49525068410063466
ils=high|length=200|model=hky,"[0.99,1]",2905,2362,0.9983865748709122,0.8130808950086058,0.7984940011889197,0.8268408400069707
ils=high|length=200|model=hky_g4,"[0,0.5)",3117,760,0.36871382739813924,0.2438241899262111,0.22907119983795127,0.2592078592466238
ils=high|length=200|model=hky_g4,"[0.5,0.7)",1271,543,0.5981841070023604,0.42722265932336745,0.4002861928109605,0.45459773943599474
ils=high|length=200|model=hky_g4,"[0.7,0.9)",1278,752,0.8018348982785601,0.5884194053208138,0.5612123555320223,0.615096480130668
ils=high|length=200|model=hky_g4,"[0.9,0.95)",463,345,0.925768898488121,0.7451403887688985,0.7035404357135191,0.7827058628168604
ils=high|length=200|model=hky_g4,"[0.95,0.99)",701,569,0.9730656205420828,0.81169757489301,0.7810861793268323,0.8389112782579641
ils=high|length=200|model=hky_g4,"[0.99,1]",1803,1730,0.998389905712701,0.9595119245701609,0.9493942311398683,0.9676756437180053
ils=high|length=200|model=jc,"[0,0.5)",1112,170,0.36877338129496406,0.1528776978417266,0.1329235433777142,0.17522198552172816
ils=high|length=200|model=jc,"[0.5,0.7)",983,252,0.6053631739572737,0.25635808748728384,0.23004811201207262,0.2845649728031601
