condition,ils,replicate,sequence_length,analysis_model,n_branches,n_supported_branches,n_missing_support,branch_error_rate,brier_score,expected_calibration_error,p_wrong_given_support_ge_0.95,p_wrong_given_support_ge_0.99,n_support_ge_0.95,n_support_ge_0.99
ils=high|rep=01|length=1600|model=gtr,high,1,1600,gtr,900,900,0,0.37333333333333335,0.1067604488888889,0.07130444444444439,0.031914893617021274,0.015915119363395226,470,377
ils=high|rep=01|length=1600|model=gtr_g4,high,1,1600,gtr_g4,900,900,0,0.38555555555555554,0.10064299555555556,0.07412888888888892,0.019184652278177457,0.003236245954692557,417,309
ils=high|rep=01|length=1600|model=hky,high,1,1600,hky,900,900,0,0.38555555555555554,0.10177579222222222,0.08335000000000002,0.03164556962025317,0.015625,474,384
ils=high|rep=01|length=1600|model=hky_g4,high,1,1600,hky_g4,900,900,0,0.39222222222222225,0.09646997333333335,0.08215999999999996,0.019230769230769232,0.0,416,308
ils=high|rep=01|length=1600|model=jc,high,1,1600,jc,900,900,0,0.37444444444444447,0.10691783222222223,0.07268111111111117,0.03319502074688797,0.017857142857142856,482,392
ils=high|rep=02|length=1600|model=gtr,high,2,1600,gtr,900,900,0,0.2577777777777778,0.22700345777777778,0.22960666666666668,0.196405648267009,0.16986301369863013,779,730
ils=high|rep=02|length=1600|model=gtr_g4,high,2,1600,gtr_g4,900,900,0,0.1388888888888889,0.06699594444444446,0.010682222222222261,0.0064516129032258064,0.0,620,561
ils=high|rep=02|length=1600|model=hky,high,2,1600,hky,900,900,0,0.25,0.21688335555555555,0.22046222222222223,0.1834625322997416,0.15289256198347106,774,726
ils=high|rep=02|length=1600|model=hky_g4,high,2,1600,hky_g4,900,900,0,0.1388888888888889,0.06750463111111112,0.014233333333333263,0.0064516129032258064,0.0,620,563
ils=high|rep=02|length=1600|model=jc,high,2,1600,jc,900,900,0,0.24888888888888888,0.2185510522222222,0.222198888888889,0.1911392405063291,0.15868673050615595,790,731
ils=high|rep=03|length=1600|model=gtr,high,3,1600,gtr,900,900,0,0.23777777777777778,0.21509666,0.21565777777777784,0.19083023543990088,0.15047879616963064,807,731
ils=high|rep=03|length=1600|model=gtr_g4,high,3,1600,gtr_g4,900,900,0,0.11666666666666667,0.06853061777777777,0.02254222222222226,0.006546644844517185,0.005366726296958855,611,559
ils=high|rep=03|length=1600|model=hky,high,3,1600,hky,900,900,0,0.23444444444444446,0.21451236555555556,0.21346333333333342,0.18922305764411027,0.15006821282401092,798,733
ils=high|rep=03|length=1600|model=hky_g4,high,3,1600,hky_g4,900,900,0,0.11666666666666667,0.06671726555555556,0.02468777777777774,0.0065252854812398045,0.0053475935828877,613,561
ils=high|rep=03|length=1600|model=jc,high,3,1600,jc,900,900,0,0.23444444444444446,0.21036147333333333,0.2102044444444445,0.18875,0.1467764060356653,800,729
ils=high|rep=04|length=1600|model=gtr,high,4,1600,gtr,900,900,0,0.16666666666666666,0.11705504777777777,0.10442555555555559,0.06843575418994413,0.04393939393939394,716,660
ils=high|rep=04|length=1600|model=gtr_g4,high,4,1600,gtr_g4,900,900,0,0.15333333333333332,0.08465798000000001,0.020126666666666633,0.003676470588235294,0.0,544,498
ils=high|rep=04|length=1600|model=hky,high,4,1600,hky,900,900,0,0.16666666666666666,0.11753389111111111,0.10421999999999998,0.07222222222222222,0.04552352048558422,720,659
ils=high|rep=04|length=1600|model=hky_g4,high,4,1600,hky_g4,900,900,0,0.15222222222222223,0.08303931555555555,0.020126666666666647,0.003669724770642202,0.0,545,495
ils=high|rep=04|length=1600|model=jc,high,4,1600,jc,900,900,0,0.16777777777777778,0.11901604888888889,0.10851777777777785,0.07015130674002751,0.04776119402985075,727,670
ils=high|rep=05|length=1600|model=gtr,high,5,1600,gtr,900,900,0,0.1411111111111111,0.10791298333333334,0.10117000000000007,0.06535947712418301,0.049247606019151846,765,731
ils=high|rep=05|length=1600|model=gtr_g4,high,5,1600,gtr_g4,900,900,0,0.13,0.06670285333333333,0.007544444444444427,0.0031746031746031746,0.0017211703958691911,630,581
ils=high|rep=05|length=1600|model=hky,high,5,1600,hky,900,900,0,0.14333333333333334,0.10818215333333334,0.10190666666666659,0.06535947712418301,0.04938271604938271,765,729
ils=high|rep=05|length=1600|model=hky_g4,high,5,1600,hky_g4,900,900,0,0.13111111111111112,0.06662768555555555,0.007005555555555575,0.0031545741324921135,0.0017123287671232876,634,584
ils=high|rep=05|length=1600|model=jc,high,5,1600,jc,900,900,0,0.1511111111111111,0.11635283555555555,0.11171111111111115,0.08108108108108109,0.05722070844686648,777,734
ils=high|rep=06|length=1600|model=gtr,high,6,1600,gtr,900,900,0,0.12,0.09964714111111111,0.09658777777777763,0.07257072570725707,0.05648267008985879,813,779
ils=high|rep=06|length=1600|model=gtr_g4,high,6,1600,gtr_g4,900,900,0,0.10888888888888888,0.05232450555555556,0.01452777777777773,0.0029985007496251873,0.0,667,613
ils=high|rep=06|length=1600|model=hky,high,6,1600,hky,900,900,0,0.11777777777777777,0.09846613666666666,0.09459444444444444,0.07352941176470588,0.056555269922879174,816,778
ils=high|rep=06|length=1600|model=hky_g4,high,6,1600,hky_g4,900,900,0,0.10888888888888888,0.052158512222222224,0.012407777777777748,0.0029985007496251873,0.0,667,615
ils=high|rep=06|length=1600|model=jc,high,6,1600,jc,900,900,0,0.1288888888888889,0.10963028333333333,0.10777444444444449,0.08536585365853659,0.07477820025348543,820,789
ils=high|rep=07|length=1600|model=gtr,high,7,1600,gtr,900,900,0,0.23555555555555555,0.21267067,0.21480999999999995,0.18773006134969325,0.15879265091863518,815,762
ils=high|rep=07|length=1600|model=gtr_g4,high,7,1600,gtr_g4,900,900,0,0.12,0.057427912222222224,0.014450000000000029,0.0,0.0,641,582
ils=high|rep=07|length=1600|model=hky,high,7,1600,hky,900,900,0,0.23222222222222222,0.21123591555555557,0.21195555555555548,0.189718482252142,0.15879265091863518,817,762
ils=high|rep=07|length=1600|model=hky_g4,high,7,1600,hky_g4,900,900,0,0.11888888888888889,0.058236593333333336,0.0158733333333333,0.0,0.0,637,582
ils=high|rep=07|length=1600|model=jc,high,7,1600,jc,900,900,0,0.23,0.2065843977777778,0.21047555555555553,0.18545454545454546,0.15870967741935485,825,775
ils=high|rep=08|length=1600|model=gtr,high,8,1600,gtr,900,900,0,0.14222222222222222,0.12481137666666667,0.12234555555555551,0.09394313967861558,0.0764163372859025,809,759
ils=high|rep=08|length=1600|model=gtr_g4,high,8,1600,gtr_g4,900,900,0,0.07444444444444444,0.04332257,0.02335444444444452,0.0014858841010401188,0.0,673,626
ils=high|rep=08|length=1600|model=hky,high,8,1600,hky,900,900,0,0.14222222222222222,0.12593473,0.12256999999999996,0.0959409594095941,0.07441253263707572,813,766
ils=high|rep=08|length=1600|model=hky_g4,high,8,1600,hky_g4,900,900,0,0.07333333333333333,0.04384267222222222,0.024390000000000012,0.001488095238095238,0.0,672,624
ils=high|rep=08|length=1600|model=jc,high,8,1600,jc,900,900,0,0.14333333333333334,0.12405669444444445,0.12379,0.0966952264381885,0.07662337662337662,817,770
ils=high|rep=09|length=1600|model=gtr,high,9,1600,gtr,900,900,0,0.21666666666666667,0.18651437666666668,0.19138111111111109,0.15940224159402241,0.12449255751014884,803,739
ils=high|rep=09|length=1600|model=gtr_g4,high,9,1600,gtr_g4,900,900,0,0.13333333333333333,0.06521948666666667,0.011335555555555512,0.0033003300330033004,0.0,606,557
ils=high|rep=09|length=1600|model=hky,high,9,1600,hky,900,900,0,0.21777777777777776,0.18950079888888888,0.19324999999999995,0.15861214374225527,0.12178619756427606,807,739
ils=high|rep=09|length=1600|model=hky_g4,high,9,1600,hky_g4,900,900,0,0.1322222222222222,0.0651039111111111,0.006233333333333334,0.004918032786885246,0.0,610,555
ils=high|rep=09|length=1600|model=jc,high,9,1600,jc,900,900,0,0.21222222222222223,0.19140201444444443,0.1924588888888889,0.16336633663366337,0.13678618857901725,808,753
ils=high|rep=10|length=1600|model=gtr,high,10,1600,gtr,900,900,0,0.09555555555555556,0.07224135444444445,0.05748777777777769,0.038560411311053984,0.024423337856173677,778,737
ils=high|rep=10|length=1600|model=gtr_g4,high,10,1600,gtr_g4,900,900,0,0.08666666666666667,0.055845273333333334,0.022131111111111164,0.004511278195488722,0.0,665,613
ils=high|rep=10|length=1600|model=hky,high,10,1600,hky,900,900,0,0.09666666666666666,0.07212960333333332,0.0582877777777778,0.037227214377406934,0.021768707482993196,779,735
ils=high|rep=10|length=1600|model=hky_g4,high,10,1600,hky_g4,900,900,0,0.08444444444444445,0.05515753333333333,0.021704444444444394,0.003003003003003003,0.0,666,611
ils=high|rep=10|length=1600|model=jc,high,10,1600,jc,900,900,0,0.09333333333333334,0.07382767333333334,0.06016000000000007,0.03841229193341869,0.025537634408602152,781,744
ils=low|rep=01|length=1600|model=gtr,low,1,1600,gtr,900,899,1,0.37666666666666665,0.09853081646273638,0.0751924360400445,0.03138075313807531,0.023255813953488372,478,387
ils=low|rep=01|length=1600|model=gtr_g4,low,1,1600,gtr_g4,900,899,1,0.3788888888888889,0.09758630033370412,0.0737797552836485,0.02810304449648712,0.006269592476489028,427,319
ils=low|rep=01|length=1600|model=hky,low,1,1600,hky,900,899,1,0.36666666666666664,0.10226970077864295,0.06310456062291438,0.03125,0.02356020942408377,480,382
ils=low|rep=01|length=1600|model=hky_g4,low,1,1600,hky_g4,900,899,1,0.35888888888888887,0.10497746496106786,0.055505005561735245,0.03044496487119438,0.009433962264150943,427,318
ils=low|rep=01|length=1600|model=jc,low,1,1600,jc,900,899,1,0.36777777777777776,0.10296647274749723,0.06612791991101229,0.027196652719665274,0.02577319587628866,478,388
ils=low|rep=02|length=1600|model=gtr,low,2,1600,gtr,900,900,0,0.20777777777777778,0.1822003488888889,0.1857577777777778,0.15308641975308643,0.12041884816753927,810,764
ils=low|rep=02|length=1600|model=gtr_g4,low,2,1600,gtr_g4,900,900,0,0.11333333333333333,0.057616056666666665,0.010729999999999974,0.0015313935681470138,0.0,653,617
ils=low|rep=02|length=1600|model=hky,low,2,1600,hky,900,900,0,0.20444444444444446,0.17948284999999997,0.18095666666666668,0.1524163568773234,0.12352168199737187,807,761
ils=low|rep=02|length=1600|model=hky_g4,low,2,1600,hky_g4,900,900,0,0.11333333333333333,0.057466272222222226,0.013958888888888831,0.0015313935681470138,0.0,653,614
ils=low|rep=02|length=1600|model=jc,low,2,1600,jc,900,900,0,0.2,0.1781453577777778,0.17813777777777776,0.15517241379310345,0.12873862158647595,812,769
ils=low|rep=03|length=1600|model=gtr,low,3,1600,gtr,900,900,0,0.21222222222222223,0.19241136666666667,0.19409777777777773,0.16707317073170733,0.1303780964797914,820,767
ils=low|rep=03|length=1600|model=gtr_g4,low,3,1600,gtr_g4,900,900,0,0.1111111111111111,0.05769870666666667,0.009142222222222286,0.0015552099533437014,0.0016778523489932886,643,596
ils=low|rep=03|length=1600|model=hky,low,3,1600,hky,900,900,0,0.21333333333333335,0.1933111822222222,0.1953666666666666,0.16707317073170733,0.13333333333333333,820,765
ils=low|rep=03|length=1600|model=hky_g4,low,3,1600,hky_g4,900,900,0,0.11444444444444445,0.05706233333333333,0.005571111111111099,0.001557632398753894,0.0016722408026755853,642,598
ils=low|rep=03|length=1600|model=jc,low,3,1600,jc,900,900,0,0.21333333333333335,0.18826481111111112,0.19316222222222224,0.16038882138517618,0.13471502590673576,823,772
ils=low|rep=04|length=1600|model=gtr,low,4,1600,gtr,900,900,0,0.2588888888888889,0.1819274177777778,0.1853866666666667,0.12608695652173912,0.09872611464968153,690,628
ils=low|rep=04|length=1600|model=gtr_g4,low,4,1600,gtr_g4,900,900,0,0.2288888888888889,0.10062557333333334,0.0333911111111111,0.004140786749482402,0.0022675736961451248,483,441
ils=low|rep=04|length=1600|model=hky,low,4,1600,hky,900,900,0,0.25555555555555554,0.18053681,0.18275666666666662,0.12753623188405797,0.09455128205128205,690,624
ils=low|rep=04|length=1600|model=hky_g4,low,4,1600,hky_g4,900,900,0,0.22666666666666666,0.10035250222222222,0.03216666666666669,0.006198347107438017,0.002288329519450801,484,437
ils=low|rep=04|length=1600|model=jc,low,4,1600,jc,900,900,0,0.25666666666666665,0.18663026,0.19021555555555558,0.13617021276595745,0.10658307210031348,705,638
ils=low|rep=05|length=1600|model=gtr,low,5,1600,gtr,900,900,0,0.17333333333333334,0.12791365999999998,0.1276533333333334,0.0903054448871182,0.06320224719101124,753,712
ils=low|rep=05|length=1600|model=gtr_g4,low,5,1600,gtr_g4,900,900,0,0.16,0.0755302411111111,0.019790000000000047,0.008183306055646482,0.003430531732418525,611,583
ils=low|rep=05|length=1600|model=hky,low,5,1600,hky,900,900,0,0.17444444444444446,0.12845809666666666,0.12975666666666655,0.08897742363877822,0.06188466947960619,753,711
ils=low|rep=05|length=1600|model=hky_g4,low,5,1600,hky_g4,900,900,0,0.1622222222222222,0.07541695333333334,0.020657777777777803,0.008169934640522876,0.003436426116838488,612,582
ils=low|rep=05|length=1600|model=jc,low,5,1600,jc,900,900,0,0.17,0.13588140777777777,0.12958333333333322,0.09567496723460026,0.07448275862068965,763,725
ils=low|rep=06|length=1600|model=gtr,low,6,1600,gtr,900,900,0,0.11555555555555555,0.10447103222222222,0.09985222222222223,0.09036860879904875,0.0752157829839704,841,811
ils=low|rep=06|length=1600|model=gtr_g4,low,6,1600,gtr_g4,900,900,0,0.07777777777777778,0.04941389888888889,0.022774444444444444,0.005763688760806916,0.0060790273556231,694,658
ils=low|rep=06|length=1600|model=hky,low,6,1600,hky,900,900,0,0.11444444444444445,0.10364541222222223,0.09868111111111116,0.08928571428571429,0.07626076260762607,840,813
ils=low|rep=06|length=1600|model=hky_g4,low,6,1600,hky_g4,900,900,0,0.07666666666666666,0.04797996,0.02167333333333324,0.004291845493562232,0.004552352048558422,699,659
