condition,support_bin,n_branches,n_correct,mean_support,p_correct,ci_low,ci_high
ils=high|length=1600|model=gtr,"[0,0.5)",457,111,0.3469168490153173,0.24288840262582057,0.20582021126555428,0.28424318578887825
ils=high|length=1600|model=gtr,"[0.5,0.7)",264,103,0.6098446969696969,0.39015151515151514,0.333288077932866,0.4501660232971147
ils=high|length=1600|model=gtr,"[0.7,0.9)",485,193,0.8132742268041236,0.3979381443298969,0.3553417257271858,0.4421386851052802
ils=high|length=1600|model=gtr,"[0.9,0.95)",239,117,0.9271087866108787,0.4895397489539749,0.4268312398230797,0.5525792071514091
ils=high|length=1600|model=gtr,"[0.95,0.99)",550,321,0.9755890909090909,0.5836363636363636,0.5419966866056621,0.6241157903191482
ils=high|length=1600|model=gtr,"[0.99,1]",7005,6367,0.9995717344753747,0.9089221984296931,0.9019583294817183,0.9154378005720699
ils=high|length=1600|model=gtr_g4,"[0,0.5)",1437,519,0.37014405010438417,0.36116910229645094,0.3367339514644439,0.38634456042749493
ils=high|length=1600|model=gtr_g4,"[0.5,0.7)",607,373,0.590339373970346,0.6144975288303131,0.5751726793032299,0.6523822220001523
ils=high|length=1600|model=gtr_g4,"[0.7,0.9)",573,479,0.8093944153577661,0.8359511343804538,0.8034103676591495,0.8640172242482302
ils=high|length=1600|model=gtr_g4,"[0.9,0.95)",309,280,0.9274239482200648,0.9061488673139159,0.8684632031487967,0.9338597615720079
ils=high|length=1600|model=gtr_g4,"[0.95,0.99)",575,552,0.973504347826087,0.96,0.940693824240842,0.9732004086546513
ils=high|length=1600|model=gtr_g4,"[0.99,1]",5499,5494,0.9995079105291871,0.9990907437715948,0.9978730797745446,0.9996115652495824
ils=high|length=1600|model=hky,"[0,0.5)",460,94,0.34675869565217393,0.20434782608695654,0.17001892631299387,0.2435739898894339
ils=high|length=1600|model=hky,"[0.5,0.7)",258,114,0.6029031007751938,0.4418604651162791,0.3825553206793456,0.5028715939132937
ils=high|length=1600|model=hky,"[0.7,0.9)",471,188,0.8115265392781316,0.3991507430997877,0.35591040298722953,0.4440228800275695
ils=high|length=1600|model=hky,"[0.9,0.95)",248,113,0.926266129032258,0.45564516129032256,0.3948078839060788,0.517835618994157
