condition,support_bin,n_branches,n_correct,mean_support,p_correct,ci_low,ci_high
ils=high|length=1600|model=hky,"[0.95,0.99)",552,313,0.9749039855072462,0.5670289855072463,0.5253711491861931,0.6077603040911433
ils=high|length=1600|model=hky,"[0.99,1]",7011,6390,0.9995592640136928,0.9114249037227214,0.9045466668869562,0.9178525160112008
ils=high|length=1600|model=hky_g4,"[0,0.5)",1441,510,0.3706481609993061,0.35392088827203333,0.3296491355764831,0.37896944240466035
ils=high|length=1600|model=hky_g4,"[0.5,0.7)",595,373,0.5879546218487396,0.626890756302521,0.5873322598819948,0.664821231124642
ils=high|length=1600|model=hky_g4,"[0.7,0.9)",574,477,0.8083554006968641,0.8310104529616724,0.7981755108028717,0.8594441552094055
ils=high|length=1600|model=hky_g4,"[0.9,0.95)",310,284,0.9275677419354839,0.9161290322580645,0.8799472840702974,0.9421234675445299
ils=high|length=1600|model=hky_g4,"[0.95,0.99)",582,558,0.9735652920962199,0.9587628865979382,0.9393745021893152,0.9721346839115013
ils=high|length=1600|model=hky_g4,"[0.99,1]",5498,5494,0.9995092761004001,0.9992724627137141,0.9981306581832087,0.9997170443024465
ils=high|length=1600|model=jc,"[0,0.5)",455,108,0.34596483516483517,0.23736263736263735,0.20056899630940261,0.27855408233037193
ils=high|length=1600|model=jc,"[0.5,0.7)",253,96,0.6084229249011858,0.3794466403162055,0.32187680951712894,0.4406227232688371
ils=high|length=1600|model=jc,"[0.7,0.9)",429,168,0.8146899766899767,0.3916083916083916,0.34657608086316205,0.4385647189120906
ils=high|length=1600|model=jc,"[0.9,0.95)",236,111,0.9271398305084746,0.4703389830508475,0.40764411226390956,0.5339840289759755
ils=high|length=1600|model=jc,"[0.95,0.99)",540,311,0.9738462962962962,0.575925925925926,0.5338501970854573,0.6169290003867479
ils=high|length=1600|model=jc,"[0.99,1]",7087,6420,0.9995549597855228,0.9058840129815154,0.8988642198148905,0.9124640151861564
ils=low|length=1600|model=gtr,"[0,0.5)",486,97,0.3482510288065844,0.19958847736625515,0.1664702696526022,0.23741866097313474
ils=low|length=1600|model=gtr,"[0.5,0.7)",248,88,0.6071854838709677,0.3548387096774194,0.29791772469446437,0.4161882847972162
ils=low|length=1600|model=gtr,"[0.7,0.9)",410,167,0.8145682926829269,0.4073170731707317,0.36083089024398063,0.4555239663001657
ils=low|length=1600|model=gtr,"[0.9,0.95)",194,93,0.9265000000000001,0.4793814432989691,0.41016647671739537,0.5493971337669519
ils=low|length=1600|model=gtr,"[0.95,0.99)",491,274,0.974775967413442,0.5580448065173116,0.5138349594348369,0.6013534159968162
ils=low|length=1600|model=gtr,"[0.99,1]",7170,6567,0.99960529986053,0.9158995815899582,0.9092505201687234,0.9221032136522186
ils=low|length=1600|model=gtr_g4,"[0,0.5)",1417,478,0.3748390966831334,0.33733239237826396,0.31318384164895485,0.36236056808679606
ils=low|length=1600|model=gtr_g4,"[0.5,0.7)",546,347,0.5943388278388279,0.6355311355311355,0.5943443803034659,0.6748240492951675
ils=low|length=1600|model=gtr_g4,"[0.7,0.9)",578,466,0.807515570934256,0.8062283737024222,0.772026455052439,0.8363865563238532
ils=low|length=1600|model=gtr_g4,"[0.9,0.95)",258,229,0.9279573643410853,0.8875968992248062,0.8432309646517212,0.9205896047306842
ils=low|length=1600|model=gtr_g4,"[0.95,0.99)",464,441,0.9735581896551724,0.9504310344827587,0.9267191289330688,0.9667456676989538
ils=low|length=1600|model=gtr_g4,"[0.99,1]",5736,5722,0.999567119944212,0.9975592747559274,0.9959070023940614,0.9985455274457863
ils=low|length=1600|model=hky,"[0,0.5)",483,105,0.34771635610766044,0.21739130434782608,0.18291351459853822,0.256329146669521
ils=low|length=1600|model=hky,"[0.5,0.7)",245,82,0.6110448979591836,0.3346938775510204,0.2785590904598902,0.3959326343964041
ils=low|length=1600|model=hky,"[0.7,0.9)",415,177,0.8122819277108433,0.42650602409638555,0.3798102419846206,0.4745499743835722
ils=low|length=1600|model=hky,"[0.9,0.95)",193,89,0.9258963730569949,0.46113989637305697,0.39225525399610206,0.5315413418454272
ils=low|length=1600|model=hky,"[0.95,0.99)",509,291,0.9748467583497054,0.5717092337917485,0.528341334723688,0.6140028120849952
ils=low|length=1600|model=hky,"[0.99,1]",7154,6548,0.9996279004752585,0.9152921442549623,0.9086147098142849,0.9215238056845774
ils=low|length=1600|model=hky_g4,"[0,0.5)",1417,489,0.3750684544812985,0.3450952717007763,0.3207909265714813,0.3702372640445592
ils=low|length=1600|model=hky_g4,"[0.5,0.7)",546,346,0.5952619047619048,0.6336996336996337,0.5924831886578471,0.6730478297299939
ils=low|length=1600|model=hky_g4,"[0.7,0.9)",575,461,0.8063391304347826,0.8017391304347826,0.7671952585187096,0.832277896140527
ils=low|length=1600|model=hky_g4,"[0.9,0.95)",252,228,0.9274722222222223,0.9047619047619048,0.862204125583333,0.9351642460966441
ils=low|length=1600|model=hky_g4,"[0.95,0.99)",478,453,0.9728849372384937,0.9476987447698745,0.9239324200838884,0.9643262939831411
ils=low|length=1600|model=hky_g4,"[0.99,1]",5731,5718,0.9995784330832315,0.9977316349677194,0.9961225902649271,0.9986738484021844
ils=low|length=1600|model=jc,"[0,0.5)",470,107,0.34437872340425535,0.2276595744680851,0.19204695522553927,0.26768811235822715
ils=low|length=1600|model=jc,"[0.5,0.7)",247,82,0.6028906882591093,0.3319838056680162,0.27622168723448093,0.3928922077494452
ils=low|length=1600|model=jc,"[0.7,0.9)",388,167,0.812680412371134,0.43041237113402064,0.38206419902045163,0.48012501213017655
ils=low|length=1600|model=jc,"[0.9,0.95)",188,78,0.9262553191489361,0.4148936170212766,0.3468549322595456,0.4863407875426245
ils=low|length=1600|model=jc,"[0.95,0.99)",470,278,0.9756680851063829,0.5914893617021276,0.5464810821378726,0.6350141685957059
ils=low|length=1600|model=jc,"[0.99,1]",7236,6593,0.9995993642896628,0.9111387506909895,0.9043624563641913,0.9174787286694702
