ils,replicates,n_loci,mean_true_gene_species_nrf,low_max_nrf,high_min_nrf,minimum_nrf_gap,observed_high_minus_low_nrf,meets_preregistered_ils_criteria
high,10,500,0.6303333333333334,0.25,0.55,0.3,0.5022222222222223,True
low,10,500,0.1281111111111111,0.25,0.55,0.3,0.5022222222222223,True
