condition,ils,replicate,sequence_length,analysis_model,unweighted_nrf,contracted_unweighted_nrf,weighted_nrf,hybrid_weighted_nrf,delta_weighted_minus_unweighted,delta_weighted_minus_contracted,delta_hybrid_minus_unweighted,delta_hybrid_minus_contracted
ils=low|rep=01|length=1600|model=gtr_g4,low,1,1600,gtr_g4,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0
ils=low|rep=01|length=1600|model=gtr,low,1,1600,gtr,0.05555555555555555,0.0,0.0,0.0,-0.05555555555555555,0.0,-0.05555555555555555,0.0
ils=low|rep=01|length=1600|model=hky_g4,low,1,1600,hky_g4,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,-0.05555555555555555,0.05555555555555555,0.0
ils=low|rep=01|length=1600|model=hky,low,1,1600,hky,0.05555555555555555,0.0,0.0,0.0,-0.05555555555555555,0.0,-0.05555555555555555,0.0
ils=low|rep=01|length=1600|model=jc,low,1,1600,jc,0.0,0.05555555555555555,0.0,0.0,0.0,-0.05555555555555555,0.0,-0.05555555555555555
ils=low|rep=02|length=1600|model=gtr_g4,low,2,1600,gtr_g4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ils=low|rep=02|length=1600|model=gtr,low,2,1600,gtr,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0
ils=low|rep=02|length=1600|model=hky_g4,low,2,1600,hky_g4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ils=low|rep=02|length=1600|model=hky,low,2,1600,hky,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0
ils=low|rep=02|length=1600|model=jc,low,2,1600,jc,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0
ils=low|rep=03|length=1600|model=gtr_g4,low,3,1600,gtr_g4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ils=low|rep=03|length=1600|model=gtr,low,3,1600,gtr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ils=low|rep=03|length=1600|model=hky_g4,low,3,1600,hky_g4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ils=low|rep=03|length=1600|model=hky,low,3,1600,hky,0.05555555555555555,0.0,0.0,0.0,-0.05555555555555555,0.0,-0.05555555555555555,0.0
ils=low|rep=03|length=1600|model=jc,low,3,1600,jc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ils=low|rep=04|length=1600|model=gtr_g4,low,4,1600,gtr_g4,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.0,0.05555555555555555,0.0,0.05555555555555555
ils=low|rep=04|length=1600|model=gtr,low,4,1600,gtr,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,-0.05555555555555555,0.0,-0.05555555555555555,0.0
ils=low|rep=04|length=1600|model=hky_g4,low,4,1600,hky_g4,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.0,0.05555555555555555,0.0,0.05555555555555555
ils=low|rep=04|length=1600|model=hky,low,4,1600,hky,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0
ils=low|rep=04|length=1600|model=jc,low,4,1600,jc,0.2222222222222222,0.05555555555555555,0.2222222222222222,0.2222222222222222,0.0,0.16666666666666666,0.0,0.16666666666666666
ils=low|rep=05|length=1600|model=gtr_g4,low,5,1600,gtr_g4,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0
ils=low|rep=05|length=1600|model=gtr,low,5,1600,gtr,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
ils=low|rep=05|length=1600|model=hky_g4,low,5,1600,hky_g4,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0
ils=low|rep=05|length=1600|model=hky,low,5,1600,hky,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
ils=low|rep=05|length=1600|model=jc,low,5,1600,jc,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0
ils=low|rep=06|length=1600|model=gtr_g4,low,6,1600,gtr_g4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ils=low|rep=06|length=1600|model=gtr,low,6,1600,gtr,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0
ils=low|rep=06|length=1600|model=hky_g4,low,6,1600,hky_g4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ils=low|rep=06|length=1600|model=hky,low,6,1600,hky,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0
