condition,ils,replicate,sequence_length,analysis_model,n_branches,n_supported_branches,n_missing_support,branch_error_rate,brier_score,expected_calibration_error,p_wrong_given_support_ge_0.95,p_wrong_given_support_ge_0.99,n_support_ge_0.95,n_support_ge_0.99
ils=high|length=1600|model=gtr,high,pooled,1600,gtr,252,252,0,0.36507936507936506,0.21118295634920636,0.20689285714285713,0.1864406779661017,0.15333333333333332,177,150
ils=high|length=1600|model=gtr_g4,high,pooled,1600,gtr_g4,252,252,0,0.27380952380952384,0.09287970238095239,0.056234126984126984,0.028368794326241134,0.0,141,116
ils=high|length=1600|model=hky,high,pooled,1600,hky,252,252,0,0.3611111111111111,0.20091994047619047,0.20562301587301587,0.17613636363636365,0.13815789473684212,176,152
ils=high|length=1600|model=hky_g4,high,pooled,1600,hky_g4,252,252,0,0.26587301587301587,0.09302653174603176,0.056309523809523775,0.02857142857142857,0.0,140,116
ils=high|length=1600|model=jc,high,pooled,1600,jc,252,252,0,0.3373015873015873,0.19050959126984127,0.1788611111111111,0.17222222222222222,0.14285714285714285,180,154
ils=low|length=1600|model=gtr,low,pooled,1600,gtr,252,252,0,0.3134920634920635,0.15086765079365078,0.13938888888888887,0.11931818181818182,0.0949367088607595,176,158
ils=low|length=1600|model=gtr_g4,low,pooled,1600,gtr_g4,252,252,0,0.2698412698412698,0.0799997261904762,0.045543650793650775,0.006896551724137931,0.0,145,124
ils=low|length=1600|model=hky,low,pooled,1600,hky,252,252,0,0.3055555555555556,0.15292647222222225,0.13066269841269845,0.12429378531073447,0.10256410256410256,177,156
ils=low|length=1600|model=hky_g4,low,pooled,1600,hky_g4,252,252,0,0.25,0.08669686904761904,0.02479761904761907,0.006802721088435374,0.0,147,121
ils=low|length=1600|model=jc,low,pooled,1600,jc,252,252,0,0.2857142857142857,0.14271905952380953,0.11322619047619048,0.11299435028248588,0.10126582278481013,177,158
