ils,replicate,population_size,n_loci,mean_true_gene_species_nrf,min_true_gene_species_nrf,max_true_gene_species_nrf
low,1,100000,7,0.10317460317460317,0.05555555555555555,0.16666666666666666
low,2,100000,7,0.11904761904761904,0.0,0.2222222222222222
high,1,1000000,7,0.6984126984126985,0.5555555555555556,0.7777777777777778
high,2,1000000,7,0.5952380952380952,0.4444444444444444,0.8333333333333334
