condition,replicate,locus,ils,sequence_length,analysis_model,support,correct,split_size
ils=low|rep=01|length=1600|model=gtr_g4,1,1,low,1600,gtr_g4,0.333,False,3
ils=low|rep=01|length=1600|model=gtr_g4,1,1,low,1600,gtr_g4,1.0,True,4
ils=low|rep=01|length=1600|model=gtr_g4,1,1,low,1600,gtr_g4,0.758,True,5
ils=low|rep=01|length=1600|model=gtr_g4,1,1,low,1600,gtr_g4,0.333,False,8
ils=low|rep=01|length=1600|model=gtr_g4,1,1,low,1600,gtr_g4,0.916,True,7
ils=low|rep=01|length=1600|model=gtr_g4,1,1,low,1600,gtr_g4,0.961,True,6
ils=low|rep=01|length=1600|model=gtr_g4,1,1,low,1600,gtr_g4,0.333,True,4
ils=low|rep=01|length=1600|model=gtr_g4,1,1,low,1600,gtr_g4,0.333,False,3
ils=low|rep=01|length=1600|model=gtr_g4,1,1,low,1600,gtr_g4,1.0,True,2
ils=low|rep=01|length=1600|model=gtr_g4,1,1,low,1600,gtr_g4,0.333,False,2
ils=low|rep=01|length=1600|model=gtr_g4,1,1,low,1600,gtr_g4,0.333,False,8
ils=low|rep=01|length=1600|model=gtr_g4,1,1,low,1600,gtr_g4,1.0,True,2
ils=low|rep=01|length=1600|model=gtr_g4,1,1,low,1600,gtr_g4,0.993,True,6
ils=low|rep=01|length=1600|model=gtr_g4,1,1,low,1600,gtr_g4,0.333,False,3
ils=low|rep=01|length=1600|model=gtr_g4,1,1,low,1600,gtr_g4,1.0,True,2
ils=low|rep=01|length=1600|model=gtr_g4,1,1,low,1600,gtr_g4,0.333,False,3
ils=low|rep=01|length=1600|model=gtr_g4,1,1,low,1600,gtr_g4,0.997,True,2
ils=low|rep=01|length=1600|model=gtr_g4,1,1,low,1600,gtr_g4,0.997,True,2
ils=low|rep=01|length=1600|model=gtr_g4,1,2,low,1600,gtr_g4,0.333,False,2
ils=low|rep=01|length=1600|model=gtr_g4,1,2,low,1600,gtr_g4,0.333,False,5
ils=low|rep=01|length=1600|model=gtr_g4,1,2,low,1600,gtr_g4,0.999,True,6
ils=low|rep=01|length=1600|model=gtr_g4,1,2,low,1600,gtr_g4,0.334,False,7
ils=low|rep=01|length=1600|model=gtr_g4,1,2,low,1600,gtr_g4,0.333,False,3
ils=low|rep=01|length=1600|model=gtr_g4,1,2,low,1600,gtr_g4,0.985,True,2
ils=low|rep=01|length=1600|model=gtr_g4,1,2,low,1600,gtr_g4,0.333,False,10
ils=low|rep=01|length=1600|model=gtr_g4,1,2,low,1600,gtr_g4,0.991,True,10
ils=low|rep=01|length=1600|model=gtr_g4,1,2,low,1600,gtr_g4,1.0,True,4
ils=low|rep=01|length=1600|model=gtr_g4,1,2,low,1600,gtr_g4,0.986,True,3
ils=low|rep=01|length=1600|model=gtr_g4,1,2,low,1600,gtr_g4,1.0,True,2
ils=low|rep=01|length=1600|model=gtr_g4,1,2,low,1600,gtr_g4,0.996,True,6
ils=low|rep=01|length=1600|model=gtr_g4,1,2,low,1600,gtr_g4,0.333,False,2
ils=low|rep=01|length=1600|model=gtr_g4,1,2,low,1600,gtr_g4,0.997,True,4
ils=low|rep=01|length=1600|model=gtr_g4,1,2,low,1600,gtr_g4,0.986,True,2
ils=low|rep=01|length=1600|model=gtr_g4,1,2,low,1600,gtr_g4,0.995,True,2
ils=low|rep=01|length=1600|model=gtr_g4,1,2,low,1600,gtr_g4,1.0,True,3
ils=low|rep=01|length=1600|model=gtr_g4,1,2,low,1600,gtr_g4,1.0,True,2
ils=low|rep=01|length=1600|model=gtr_g4,1,3,low,1600,gtr_g4,0.333,False,2
ils=low|rep=01|length=1600|model=gtr_g4,1,3,low,1600,gtr_g4,0.333,False,3
ils=low|rep=01|length=1600|model=gtr_g4,1,3,low,1600,gtr_g4,1.0,True,4
ils=low|rep=01|length=1600|model=gtr_g4,1,3,low,1600,gtr_g4,0.333,False,8
ils=low|rep=01|length=1600|model=gtr_g4,1,3,low,1600,gtr_g4,0.968,True,7
ils=low|rep=01|length=1600|model=gtr_g4,1,3,low,1600,gtr_g4,0.979,True,6
ils=low|rep=01|length=1600|model=gtr_g4,1,3,low,1600,gtr_g4,0.333,False,5
ils=low|rep=01|length=1600|model=gtr_g4,1,3,low,1600,gtr_g4,0.333,False,2
ils=low|rep=01|length=1600|model=gtr_g4,1,3,low,1600,gtr_g4,0.333,False,3
ils=low|rep=01|length=1600|model=gtr_g4,1,3,low,1600,gtr_g4,1.0,True,2
ils=low|rep=01|length=1600|model=gtr_g4,1,3,low,1600,gtr_g4,0.333,False,9
ils=low|rep=01|length=1600|model=gtr_g4,1,3,low,1600,gtr_g4,0.992,True,6
ils=low|rep=01|length=1600|model=gtr_g4,1,3,low,1600,gtr_g4,0.333,True,5
ils=low|rep=01|length=1600|model=gtr_g4,1,3,low,1600,gtr_g4,0.994,True,3
ils=low|rep=01|length=1600|model=gtr_g4,1,3,low,1600,gtr_g4,0.98,True,2
ils=low|rep=01|length=1600|model=gtr_g4,1,3,low,1600,gtr_g4,0.333,True,2
ils=low|rep=01|length=1600|model=gtr_g4,1,3,low,1600,gtr_g4,1.0,True,3
ils=low|rep=01|length=1600|model=gtr_g4,1,3,low,1600,gtr_g4,0.983,True,2
ils=low|rep=01|length=1600|model=gtr_g4,1,4,low,1600,gtr_g4,0.333,False,2
ils=low|rep=01|length=1600|model=gtr_g4,1,4,low,1600,gtr_g4,0.333,True,3
ils=low|rep=01|length=1600|model=gtr_g4,1,4,low,1600,gtr_g4,0.992,True,4
ils=low|rep=01|length=1600|model=gtr_g4,1,4,low,1600,gtr_g4,1.0,True,6
ils=low|rep=01|length=1600|model=gtr_g4,1,4,low,1600,gtr_g4,0.333,False,5
ils=low|rep=01|length=1600|model=gtr_g4,1,4,low,1600,gtr_g4,0.333,False,2
ils=low|rep=01|length=1600|model=gtr_g4,1,4,low,1600,gtr_g4,0.333,False,3
ils=low|rep=01|length=1600|model=gtr_g4,1,4,low,1600,gtr_g4,1.0,True,2
ils=low|rep=01|length=1600|model=gtr_g4,1,4,low,1600,gtr_g4,0.333,False,10
ils=low|rep=01|length=1600|model=gtr_g4,1,4,low,1600,gtr_g4,0.97,True,10
ils=low|rep=01|length=1600|model=gtr_g4,1,4,low,1600,gtr_g4,0.333,False,9
ils=low|rep=01|length=1600|model=gtr_g4,1,4,low,1600,gtr_g4,0.333,False,8
ils=low|rep=01|length=1600|model=gtr_g4,1,4,low,1600,gtr_g4,0.333,False,6
ils=low|rep=01|length=1600|model=gtr_g4,1,4,low,1600,gtr_g4,0.333,False,4
ils=low|rep=01|length=1600|model=gtr_g4,1,4,low,1600,gtr_g4,0.998,True,3
ils=low|rep=01|length=1600|model=gtr_g4,1,4,low,1600,gtr_g4,0.999,True,2
ils=low|rep=01|length=1600|model=gtr_g4,1,4,low,1600,gtr_g4,0.333,False,2
ils=low|rep=01|length=1600|model=gtr_g4,1,4,low,1600,gtr_g4,0.333,False,2
ils=low|rep=01|length=1600|model=gtr_g4,1,5,low,1600,gtr_g4,0.333,False,2
ils=low|rep=01|length=1600|model=gtr_g4,1,5,low,1600,gtr_g4,0.333,False,7
ils=low|rep=01|length=1600|model=gtr_g4,1,5,low,1600,gtr_g4,0.333,False,5
ils=low|rep=01|length=1600|model=gtr_g4,1,5,low,1600,gtr_g4,1.0,True,4
ils=low|rep=01|length=1600|model=gtr_g4,1,5,low,1600,gtr_g4,0.333,True,3
ils=low|rep=01|length=1600|model=gtr_g4,1,5,low,1600,gtr_g4,0.333,False,2
ils=low|rep=01|length=1600|model=gtr_g4,1,5,low,1600,gtr_g4,0.333,False,9
ils=low|rep=01|length=1600|model=gtr_g4,1,5,low,1600,gtr_g4,0.333,False,2
ils=low|rep=01|length=1600|model=gtr_g4,1,5,low,1600,gtr_g4,0.333,False,7
ils=low|rep=01|length=1600|model=gtr_g4,1,5,low,1600,gtr_g4,0.995,True,6
ils=low|rep=01|length=1600|model=gtr_g4,1,5,low,1600,gtr_g4,0.333,True,5
ils=low|rep=01|length=1600|model=gtr_g4,1,5,low,1600,gtr_g4,0.998,True,4
ils=low|rep=01|length=1600|model=gtr_g4,1,5,low,1600,gtr_g4,0.333,False,3
ils=low|rep=01|length=1600|model=gtr_g4,1,5,low,1600,gtr_g4,0.333,False,2
ils=low|rep=01|length=1600|model=gtr_g4,1,5,low,1600,gtr_g4,0.333,False,5
